0,0.191633605,6,3136
3,0.049407496,1,784
4,0.042235896,0,784
5,0.127465052,6,1568
8,0.129105717,6,392
11,0.040522706,1,1176
12,0.041679751,0,1176
13,0.128267099,6,1568
16,0.127361518,6,392
19,0.038850248,1,1568
20,0.042128838,0,1568
21,0.12570111,6,1568
24,0.124268213,6,392
27,0.039553689,1,1960
28,0.041910931,0,1960
29,0.128419849,6,1568
32,0.127259066,6,392
35,0.038993135,1,2352
36,0.041841927,0,2352
37,0.128026051,6,1568
40,0.128133579,6,392
43,0.038841436,1,2744
44,0.04086831,0,2744
45,0.12822721,6,1568
48,0.128240259,6,392
51,0.036615918,1,3136
52,0.132253655,6,1568
55,0.040376318,1,392
56,0.043586942,0,392
57,0.133966578,6,392
60,0.135494399,6,98
63,0.039383105,1,490
64,0.042194915,0,490
65,0.134783457,6,392
68,0.135482257,6,98
71,0.040591119,1,588
72,0.041397212,0,588
73,0.133514274,7,392
76,0.138395085,6,98
79,0.041245009,1,686
80,0.042415295,0,686
81,0.133501603,7,392
84,0.138390521,6,98
87,0.040295107,1,784
88,0.043117133,0,784
89,0.132955869,7,392
92,0.137461096,6,98
95,0.040292568,1,882
96,0.042534706,0,882
97,0.134454247,7,392
100,0.13805019,8,98
103,0.040983057,1,980
104,0.042617124,0,980
105,0.133466724,7,392
108,0.137155047,6,98
111,0.040600702,1,1078
112,0.046261368,0,1078
113,0.134077616,7,392
116,0.137033132,6,98
119,0.039873666,1,1176
120,0.043020632,0,1176
121,0.134767398,7,392
124,0.13743446,6,98
127,0.040953185,1,1274
128,0.045519667,0,1274
129,0.134762989,7,392
132,0.139136419,6,98
135,0.040829723,1,1372
136,0.043741796,0,1372
137,0.138944843,7,392
140,0.144123136,6,98
143,0.040684452,1,1470
144,0.046630294,0,1470
145,0.135892991,7,392
148,0.140463148,6,98
151,0.038951064,1,1568
152,0.137789635,7,784
155,0.044804666,1,196
156,0.04534438,0,196
157,0.135827929,7,98
160,0.140024263,6,24.5
163,0.041830507,1,220.5
164,0.044539462,0,220.5
165,0.136048612,7,98
168,0.1399268,6,24.5
171,0.041763078,1,245
172,0.044768735,0,245
173,0.136350976,7,98
176,0.140773665,6,24.5
179,0.040786687,1,269.5
180,0.044786288,0,269.5
181,0.136401382,7,98
184,0.139917437,6,24.5
187,0.040939252,1,294
