0,0.225492938,6,3136,0
2,0.055182589,2,784,588
3,0.227751313,7,784,588
5,0.184047725,6,784,784
7,0.158248717,5,3136,784
9,0.195685388,7,3136,784
10,0.225483574,7,784,3136
12,0.189124211,6,784,3136
14,0.20305985,7,3136,3136
16,0.219908837,7,784,3136
18,0.189189087,6,784,3136
20,0.196047022,7,3136,3136
22,0.182650954,6,1568,3136
24,0.224085264,7,392,3136
26,0.16667771,5,1568,3136
28,0.20023422,7,1568,3136
29,0.228705915,7,392,1568
31,0.195589333,6,392,1568
33,0.210541603,7,1568,1568
35,0.231468665,7,392,1568
37,0.195087488,6,392,1568
39,0.212049899,7,1568,1568
41,0.228078061,7,392,1568
43,0.197448455,6,392,1568
45,0.210952058,7,1568,1568
47,0.230286856,7,392,1568
49,0.196633649,6,392,1568
51,0.211419613,7,1568,1568
53,0.233086095,7,392,1568
55,0.196271506,6,392,1568
57,0.212581538,7,1568,1568
59,0.234105746,7,392,1568
61,0.194678093,6,392,1568
63,0.209597597,7,1568,1568
65,0.231856809,7,392,1568
67,0.200174024,6,392,1568
69,0.220452512,7,1568,1568
71,0.243260493,7,784,1568
73,0.244433985,7,196,1568
75,0.212269685,6,784,1568
77,0.222333604,7,784,1568
78,0.24384078,7,196,784
80,0.209890011,6,196,784
82,0.263178167,8,784,784
84,0.245229281,7,196,784
86,0.211073448,6,196,784
88,0.265622458,8,784,784
90,0.24443758,7,196,784
92,0.211219288,6,196,784
94,0.267666064,8,784,784
96,0.244233515,7,196,784
98,0.209785802,6,196,784
100,0.266291293,8,784,784
102,0.243261721,7,196,784
104,0.210747198,6,196,784
106,0.266383559,8,784,784
108,0.245402877,7,196,784
110,0.21276372,6,196,784
112,0.264863728,8,784,784
114,0.243245725,7,196,784
116,0.210675317,6,196,784
118,0.264832809,8,784,784
120,0.242540792,7,196,784
122,0.210593511,6,196,784
124,0.264795827,8,784,784
126,0.24325465,7,196,784
128,0.215146856,6,196,784
130,0.269875434,8,784,784
132,0.245961176,7,196,784
134,0.212898932,6,196,784
136,0.268131715,8,784,784
138,0.245601914,7,196,784
140,0.211499069,6,196,784
142,0.265575604,8,784,784
144,0.243975075,7,196,784
146,0.20995729,6,196,784
148,0.267827169,8,784,784
150,0.246322996,7,196,784
152,0.211174589,6,196,784
154,0.268031275,8,784,784
156,0.243913706,7,196,784
158,0.212882481,6,196,784
160,0.266912663,8,784,784
162,0.245804568,7,196,784
164,0.212972963,6,196,784
166,0.266498333,8,784,784
168,0.247247649,7,196,784
170,0.21203098,6,196,784
172,0.270278452,8,784,784
174,0.248286143,7,196,784
176,0.213620964,6,196,784
178,0.267950269,8,784,784
180,0.243118388,7,196,784
182,0.211503001,6,196,784
184,0.267552483,8,784,784
186,0.244137827,7,196,784
188,0.211367077,6,196,784
190,0.266924317,8,784,784
192,0.243919566,7,196,784
194,0.211843321,6,196,784
196,0.266892146,8,784,784
198,0.244015268,7,196,784
200,0.211261456,6,196,784
202,0.265720839,8,784,784
204,0.245115705,7,196,784
206,0.211075674,6,196,784
208,0.266808443,8,784,784
210,0.245251175,7,196,784
212,0.212572844,6,196,784
214,0.266800675,8,784,784
216,0.244113891,7,196,784
218,0.209728998,6,196,784
220,0.265686205,8,784,784
222,0.244384169,7,196,784
224,0.213529825,6,196,784
226,0.266414716,8,784,784
228,0.242714436,7,196,784
230,0.210176752,6,196,784
232,0.263407034,8,784,784
234,0.2447134,7,196,784
236,0.209963077,6,196,784
238,0.263917543,8,784,784
240,0.241880497,7,196,784
242,0.206787945,6,196,784
244,0.268918977,8,784,784
246,0.24467104,7,196,784
248,0.208983243,6,196,784
250,0.266135565,8,784,784
252,0.241602014,7,196,784
254,0.206975922,6,196,784
256,0.262517008,8,784,784
258,0.241745074,7,196,784
260,0.206528297,6,196,784
262,0.264065927,8,784,784
264,0.238362862,7,196,784
266,0.204923818,6,196,784
268,0.263143853,8,784,784
270,0.241126908,7,196,784
272,0.208478099,6,196,784
274,0.263046548,8,784,784
276,0.240027501,7,196,784
278,0.207224036,6,196,784
280,0.270761774,8,784,784
282,0.245751944,7,196,784
284,0.217067439,6,196,784
286,0.274381966,8,784,784
288,0.253304289,7,392,784
290,0.291474669,10,98,784
292,0.221054048,6,392,784
294,0.269167448,8,392,784
295,0.242913268,7,98,392
297,0.213858715,6,98,392
299,0.251471442,8,392,392
301,0.225105561,7,98,392
303,0.200188395,6,98,392
305,0.226732961,8,392,392
307,0.047319112,1,8,392
308,3.102896411,2,3.90625,392
